user,member,sex,baby_age,baby_sex
1,3,2,86,1
2,5,2,114,2
3,4,2,14,1
4,3,2,47,1
5,5,2,49,2
6,5,2,60,1
7,3,2,105,2
8,3,2,7,2
9,1,-99,-99,-99
10,3,2,3,2
11,6,1,-99,0
12,3,2,-99,0
13,5,2,25,1
14,4,0,80,2
15,5,2,39,2
16,3,0,117,2
17,3,2,81,1
18,3,0,-99,2
19,3,1,16,1
20,3,2,42,2
21,4,2,118,2
22,3,2,32,2
23,3,1,8,1
24,3,2,36,2
25,4,2,34,2
26,3,2,43,2
27,3,1,83,1
28,4,1,22,1
29,3,2,15,2
30,3,2,3,2
31,3,2,44,1
32,4,2,13,1
33,5,2,61,2
34,3,2,160,2
35,4,2,92,2
36,6,2,60,2
37,3,2,91,2
38,6,2,-99,0
39,3,2,16,1
40,3,0,80,2
41,4,2,39,2
42,6,2,41,2
43,3,2,118,2
44,2,2,40,2
45,1,2,-1,3
46,3,2,60,1
47,3,2,-99,2
48,4,2,-99,1
49,5,2,111,2
50,3,0,59,2
51,3,2,45,2
52,3,2,39,2
53,3,2,53,2
54,4,2,24,1
55,4,2,41,2
56,3,2,11,2
57,3,2,32,1
58,3,2,45,2
59,3,2,44,2
60,1,2,46,2
61,3,1,59,1
62,3,0,13,1
63,3,1,13,1
64,2,2,88,1
65,4,2,1,2
66,5,0,55,1
67,3,2,82,1
68,6,2,22,1
69,3,2,67,2
70,4,2,34,1
71,3,2,-99,0
72,3,2,131,1
73,3,0,33,2
74,3,2,14,1
75,3,2,46,2
76,3,2,43,2
77,4,0,13,2
78,3,2,-99,0
79,4,2,12,1
80,3,2,46,2
81,2,2,74,2
82,4,2,38,1
83,3,2,57,1
84,6,2,49,1
85,1,2,4,2
86,2,2,5,1
87,3,2,48,1
88,1,2,3,2
89,4,2,43,1
90,3,2,42,2
91,3,2,17,2
92,4,2,38,2
93,6,0,43,2
94,3,2,-99,0
95,3,2,46,2
96,5,0,29,2
97,3,0,5,2
98,5,2,65,2
99,5,2,55,1
100,3,0,40,2
101,1,2,59,2
102,3,2,70,1
103,3,1,4,1
104,3,2,-99,1
105,3,2,29,2
106,3,0,-99,0
107,2,2,78,1
108,3,2,38,1
109,4,2,41,2
110,3,2,-99,0
111,4,0,-99,2
112,4,2,37,2
113,5,2,46,2
114,2,2,36,1
115,3,2,0,1
116,4,2,21,1
117,1,2,57,2
118,4,2,70,1
119,2,2,7,2
120,5,2,40,1
121,4,2,6,1
122,3,2,32,1
123,3,-99,-99,-99
124,3,2,0,1
125,4,2,68,1
126,3,0,4,2
127,2,2,-99,0
128,4,2,60,1
129,5,2,62,1
130,3,2,101,2
131,3,2,59,2
132,4,2,25,2
133,2,2,78,1
134,3,2,8,2
135,3,2,28,1
136,3,2,81,2
137,6,2,33,1
138,3,0,28,1
139,4,2,55,2
140,3,2,13,1
141,2,1,24,1
142,3,2,18,2
143,3,2,59,1
144,4,2,72,2
145,4,0,41,2
146,3,0,38,1
147,4,2,78,2
148,3,2,52,2
149,4,2,38,2
150,2,2,6,1
151,2,2,61,2
152,3,2,10,1
153,1,2,6,1
154,3,0,44,1
155,3,2,16,1
156,5,2,35,2
157,2,2,50,2
158,2,2,6,2
159,1,0,59,2
160,3,0,49,1
161,3,2,70,2
162,3,0,43,2
163,3,2,40,2
164,3,2,30,2
165,3,2,48,1
166,3,2,30,2
167,3,2,29,2
168,3,2,38,2
169,3,2,59,2
170,2,2,3,2
171,3,2,5,2
172,5,2,58,1
173,1,2,127,1
174,4,2,57,2
175,2,2,36,1
176,3,2,51,1
177,6,2,25,2
178,3,2,83,1
179,2,2,43,2
180,2,2,34,1
181,5,2,36,1
182,3,0,-99,0
183,3,2,119,1
184,4,2,-6,3
185,3,2,46,2
186,3,2,2,2
187,3,2,20,2
188,3,2,21,2
189,3,2,41,2
190,2,2,-99,0
191,3,2,56,2
192,4,2,39,1
193,4,2,34,1
194,3,2,75,1
195,3,2,4,2
196,3,2,44,1
197,3,2,54,4
198,5,2,41,1
199,3,2,28,2
200,4,2,73,2
201,4,2,40,2
202,4,2,39,2
203,4,2,44,2
204,2,2,31,1
205,1,2,40,2
206,3,1,17,1
207,1,2,-99,0
208,3,2,26,1
209,3,1,7,1
210,5,0,45,2
211,6,2,38,1
212,3,2,38,2
213,2,0,36,1
214,3,0,47,2
215,3,2,97,2
216,2,2,24,2
217,3,2,56,2
218,3,2,12,2
219,2,0,5,2
220,4,2,107,1
221,3,2,19,2
222,3,-99,-99,-99
223,3,2,1,1
224,3,0,32,2
225,4,2,43,2
226,3,2,41,2
227,3,2,5,1
228,3,0,152,2
229,3,2,28,2
230,3,2,10,2
231,3,2,37,1
232,3,2,33,2
233,3,2,67,2
234,4,2,22,1
235,3,2,3,1
236,5,2,41,2
237,4,2,68,2
238,1,2,9,1
239,3,0,-99,0
240,4,2,39,2
241,4,2,28,1
242,5,-99,-99,-99
243,3,2,46,2
244,3,2,2,2
245,3,2,97,1
246,3,2,45,2
247,2,0,39,2
248,4,2,40,2
249,3,2,50,2
250,3,2,2,1
251,4,2,3,2
252,3,2,81,1
253,3,0,66,2
254,4,2,52,2
255,4,0,37,1
256,2,2,-99,0
257,3,2,47,1
258,4,0,42,2
259,3,2,17,1
260,3,2,27,2
261,3,1,4,1
262,3,2,31,2
263,3,2,22,3
264,5,2,32,2
265,4,0,17,1
266,3,2,66,1
267,3,2,43,1
268,3,2,34,2
269,3,2,33,2
270,2,1,2,2
271,3,2,46,1
272,3,2,17,2
273,2,2,14,2
274,2,2,6,2
275,5,0,39,1
276,5,2,32,1
277,1,2,5,1
278,3,2,34,2
279,3,2,119,2
280,3,2,36,2
281,5,2,66,2
282,4,2,-99,0
283,3,2,2,2
284,3,2,97,2
285,5,2,37,1
286,2,2,26,1
287,3,-99,-99,-99
288,1,2,35,2
289,5,2,15,2
290,4,2,40,1
291,2,0,27,2
292,3,2,34,2
293,3,2,15,2
294,6,0,65,2
295,3,2,44,1
296,3,2,88,2
297,3,0,51,2
298,4,2,37,2
299,2,2,98,1
300,3,2,50,2
301,3,2,87,2
302,2,0,64,2
303,3,2,63,2
304,3,2,65,1
305,2,0,79,2
306,3,2,37,2
307,4,2,33,2
308,4,2,50,2
309,3,2,70,2
310,4,2,33,2
311,3,2,25,3
312,3,-99,-99,-99
313,3,2,4,2
314,4,2,84,2
315,3,2,26,1
316,3,2,34,1
317,5,2,46,2
318,3,0,25,2
319,3,2,38,1
320,3,2,26,1
321,3,2,132,2
322,5,2,30,1
323,1,2,37,2
324,3,2,21,1
325,4,2,68,1
326,3,2,84,2
327,3,0,64,2
328,2,2,64,1
329,5,2,21,1
330,3,0,33,2
331,3,2,94,2
332,4,1,41,1
333,3,2,52,2
334,2,2,2,2
335,1,2,-1,3
336,1,2,-2,3
337,3,2,8,1
338,3,0,76,1
339,3,2,24,1
340,3,2,79,2
341,1,2,37,1
342,2,2,2,2
343,1,2,7,1
344,3,1,64,1
345,4,0,10,1
346,3,2,37,1
347,2,2,11,2
348,2,2,36,1
349,4,0,121,1
350,4,2,55,2
351,3,2,30,2
352,3,1,10,1
353,3,2,1,1
354,4,2,34,1
355,3,0,59,2
356,2,2,134,2
357,3,2,16,2
358,3,2,27,2
359,2,2,82,2
360,3,2,45,1
361,3,2,59,2
362,3,2,38,2
